SLC25A26	347006
TUBA3C	11617
	9024
TPTE2	112023
MPHOSPH8	42096
PSPC1	106359
	5511
ZMYM5	37776
ZMYM2	128025
GJA3	21311
GJB2	4633
GJB6	9269
CRYL1	121175
IFT88	127130
IL17D	24220
N6AMT2	46677
XPO4	121972
LATS2	84850
SAP18	11247
SKA3	22081
MRP63	4980
ZDHHC20	81914
MICU2	110132
FGF9	34428
SGCG	147720
SACS	90490
TNFRSF19	106738
MIPEP	161139
	6564
C1QTNF9B	10498
	341786
SPATA13	328008
C1QTNF9	19173
	4660
PARP4	91742
ATP12A	32996
RNF17	115714
CENPJ	39320
	5000
PABPC3	5037
AMER2	12237
MTMR6	57185
NUPL1	50977
ATP8A2	649000
	17677
	4951
SHISA2	9747
RNF6	92082
CDK8	153560
WASF3	131475
GPR12	7102
USP12	109636
RPL21	9738
RASL11A	7442
GTF3A	14928
MTIF3	14036
LNX2	76927
POLR1D	49446
GSX1	5512
PDX1	8831
ATP5EP2	5229
CDX2	5930
URAD	15259
FLT3	97418
PAN3	156308
FLT1	190324
POMP	23578
SLC46A3	19102
MTUS2	479416
SLC7A1	83958
UBL3	84818
KATNAL1	103224
HMGB1	162975
USPL1	43392
ALOX5AP	33117
MEDAG	23474
TEX26	46936
HSPH1	22770
B3GALTL	133250
RXFP2	65621
FRY	261302
ZAR1L	15329
BRCA2	77516
N4BP2L1	31430
N4BP2L2	105417
PDS5B	189293
KL	50032
STARD13	247734
RFC3	151976
NBEA	725579
MAB21L1	6827
DCLK1	357400
SOHLH2	129059
CCDC169-SOHLH2	128473
CCDC169	71523
SPG20	66302
SPG20OS	28014
CCNA1	14446
SERTM1	25994
RFXAP	13742
SMAD9	76810
ALG5	54217
EXOSC8	14695
SUPT20H	47679
CSNK1A1L	3987
POSTN	33655
TRPC4	229993
UFM1	15509
FREM2	189172
STOML3	23903
PROSER1	29845
NHLRC3	13474
LHFP	262821
COG6	137664
	4815
FOXO1	108579
MRPS31	40659
SLC25A15	24799
ELF1	132410
WBP4	25519
KBTBD6	5684
KBTBD7	3180
MTRF1	48591
NAA16	66724
RGCC	17517
VWA8	388501
DGKH	217557
AKAP11	46282
TNFSF11	48233
FAM216B	11815
EPSTI1	104557
DNAJC15	88598
ENOX1	572329
CCDC122	58845
LACC1	15842
SMIM2	22458
SERP2	28273
TSC22D1	143650
NUFIP1	53669
GPALPP1	47633
GTF2F2	166525
KCTD4	12408
TPT1	8831
SLC25A30	25989
COG3	74241
FAM194B	78998
SPERT	15670
SIAH3	70551
ZC3H13	98004
CPB2	55629
LCP1	88618
LRRC63	67906
KIAA0226L	98072
LRCH1	200100
ESD	24853
HTR2A	63711
SUCLA2	104692
NUDT15	12740
MED4	40891
ITM2B	33546
RB1	177526
LPAR6	59099
RCBTB2	42369
CYSLTR2	5003
FNDC3A	232770
MLNR	5651
CDADC1	47264
CAB39L	139244
	17838
SETDB2	53101
PHF11	36825
RCBTB1	51771
ARL11	8291
EBPL	29843
KPNA3	91642
SPRYD7	22943
TRIM13	27421
KCNRG	8057
DLEU1	645807
DLEU7	136842
RNASEH2B	64326
FAM124A	62145
SERPINE3	32651
INTS6	101980
WDFY2	179070
DHRS12	39928
CCDC70	8351
ATP7B	79401
ALG11	19667
UTP14C	7697
NEK5	91354
NEK3	25334
THSD1	26306
VPS36	41810
CKAP2	22565
HNRNPA1L2	29418
SUGT1	39024
LECT1	35439
PCDH8	1797
OLFM4	25484
PRR20A	7357
PRR20B	6854
PRR20C	6857
PRR20D	6855
PRR20E	6849
PCDH17	95000
DIAPH3	494607
TDRD3	179866
PCDH20	16729
	5000
PCDH9	923172
KLHL1	410629
DACH1	426538
MZT1	23742
BORA	31444
DIS3	28520
PIBF1	235886
KLF5	24540
KLF12	442840
	10725
TBC1D4	193219
COMMD6	28760
UCHL3	60591
LMO7	237119
C13orf45	16686
KCTD12	10167
IRG1	13035
CLN5	15637
FBXL3	32038
MYCBP2	268180
SCEL	111542
SLAIN1	68341
EDNRB	27580
POU4F1	8775
RNF219	45995
RBM26	96625
NDFIP2	75358
SPRY2	4835
SLITRK1	2910
SLITRK6	3599
SLITRK5	7680
GPC5	1471052
GPC6	1179602
DCT	40253
TGDS	25395
GPR180	28954
SOX21	4170
ABCC4	277494
CLDN10	150256
DZIP1	64388
DNAJC3	117388
UGGT2	247121
HS6ST3	745945
OXGR1	7837
MBNL2	173753
RAP2A	34658
IPO5	69549
FARP1	307306
RNF113B	5513
STK24	126246
SLC15A1	66693
DOCK9	288008
UBAC2	186252
GPR18	11035
GPR183	16790
TM9SF2	64366
CLYBL	289769
ZIC5	6858
ZIC2	7626
PCCA	443830
GGACT	57122
TMTC4	68610
NALCN	357190
ITGBL1	273836
FGF14	685741
TPP2	83409
METTL21C	7963
CCDC168	3819
TEX30	7013
KDELC1	18227
BIVM	45576
BIVM-ERCC5	65552
ERCC5	32482
SLC10A2	21208
DAOA	29449
EFNB2	44236
ARGLU1	25371
FAM155A	696687
LIG4	13194
ABHD13	15820
TNFSF13B	59846
MYO16	610050
IRS2	28201
COL4A1	158056
COL4A2	206160
RAB20	37746
CARKD	27894
CARS2	74481
ING1	10791
